root_id	input_group
720575940623307447	0
720575940623444715	0
720575940623465909	1
720575940623528925	3
720575940623543881	2
720575940623617973	1
720575940623673802	3
720575940623739076	1
720575940623902471	3
720575940623913364	3
720575940623945404	0
720575940624001321	1
720575940624039560	0
720575940624057853	0
720575940624106442	1
720575940624515571	1
720575940624661552	0
720575940624770791	0
720575940624789125	0
720575940624834697	1
720575940624863015	0
720575940624879911	3
720575940624941244	3
720575940625007949	2
720575940625014928	2
720575940625022270	0
720575940625040053	1
720575940625056509	2
720575940625368976	1
720575940625431866	3
720575940625431870	0
720575940625493400	1
720575940625564676	2
720575940625586122	1
720575940625784153	1
720575940625819138	1
720575940625924618	1
720575940626034819	1
720575940626043218	0
720575940626143806	0
720575940626768656	2
720575940626937617	3
720575940626986885	2
720575940627035388	2
720575940627042064	2
720575940627160322	1
720575940627244986	1
720575940627245585	0
720575940627480586	1
720575940627708688	3
720575940627772009	3
720575940627844734	2
720575940627949929	3
720575940628035543	3
720575940628077568	0
720575940628181520	2
720575940628259407	3
720575940628283560	2
720575940628316047	2
720575940628338028	1
720575940628467611	1
720575940628524292	2
720575940628739560	3
720575940628750248	3
720575940628882450	1
720575940628954112	1
720575940629009513	0
720575940629011655	2
720575940629097922	0
720575940629279544	2
720575940629346103	1
720575940629587671	2
720575940629733626	1
720575940629752219	2
720575940629926159	0
720575940629963855	1
720575940630003472	0
720575940630024566	0
720575940630066007	0
720575940630093051	0
720575940630097103	1
720575940630131663	1
720575940630155083	2
720575940630217086	0
720575940630493818	1
720575940630546540	2
720575940630547909	3
720575940630549370	3
720575940630770042	3
720575940630778428	3
720575940630895055	1
720575940630914858	1
720575940630928715	3
720575940630989354	1
720575940631054634	1
720575940631161570	0
720575940631193052	2
720575940631274770	2
720575940631301715	1
720575940631328104	3
720575940631462200	3
720575940631469964	3
720575940631633401	1
720575940631742156	3
720575940631801671	2
720575940631930828	1
720575940632128908	2
720575940632167085	3
720575940632698797	1
720575940632868563	1
720575940633165025	2
720575940633190847	2
720575940633356883	3
720575940633499548	2
720575940633552028	2
720575940633804212	3
720575940633884333	2
720575940634035863	0
720575940634325087	0
720575940634710629	2
720575940634939327	2
720575940635066975	0
720575940635082871	3
720575940635604581	0
720575940635838606	3
720575940635933119	2
720575940635983770	2
720575940636873791	1
720575940637009636	2
720575940637056887	3
720575940637185252	2
720575940637208718	0
720575940637231593	2
720575940637469254	0
720575940637526190	3
720575940637594334	0
720575940637628762	0
720575940637864355	3
720575940637943374	2
720575940638149744	1
720575940638624189	3
720575940638633535	1
720575940638719104	1
720575940638778165	1
720575940639017050	3
720575940639080765	0
720575940639121571	0
720575940639202467	2
720575940639337461	1
720575940639669592	3
720575940639680957	1
720575940640032896	0
720575940640398477	3
720575940640697808	2
720575940640804853	3
720575940640971995	1
720575940642046453	2
720575940642086389	2
720575940642492576	1
720575940644004768	2
720575940644238871	0
720575940644258327	1
720575940644961588	2
720575940646122804	2
720575940646661252	3
720575940648206468	1
720575940648650884	3
720575940649045369	3
720575940649133945	0
720575940652941217	0
720575940656090017	2
720575940659400577	2
