task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds,before_reversal_expected,reversal_episodes,learning_rate,logit_gain
fourway,frozen,107,2000,1024,0.00097656,0.23616752,0.00097656,0.25292969,0.23616752,0.43457031,0.25482372,0,0.00000000,0.734683,0.25482372,2000,0.02,12
fourway,shuffled,107,2000,1024,0.00097656,0.23616752,0.08105469,0.17773438,0.18046732,0.50000000,0.41341561,62261,96.81301997,1.575012,0.20846276,2000,0.02,12
fourway,reward,108,2000,1024,0.26367188,0.24447024,1.00000000,0.98535156,0.98366084,1.00000000,0.98145859,62261,152.78602474,1.621345,0.00540466,2000,0.02,12
fourway,frozen,108,2000,1024,0.26367188,0.24447024,0.26367188,0.24804688,0.24447024,0.00488281,0.23270133,0,0.00000000,0.722277,0.23270133,2000,0.02,12
fourway,shuffled,108,2000,1024,0.26367188,0.24447024,0.00000000,0.09375000,0.09957779,0.25000000,0.17252553,62261,104.36983168,1.519171,0.31095841,2000,0.02,12
xor,reward,101,2000,1024,0.49902344,0.50131352,1.00000000,0.89843750,0.91371247,1.00000000,0.89213947,62261,129.26234773,2.588723,0.08575004,2000,0.02,12
xor,frozen,101,2000,1024,0.49902344,0.50131352,0.49902344,0.47851562,0.50131352,0.50097656,0.49878250,0,0.00000000,0.725060,0.49878250,2000,0.02,12
xor,shuffled,101,2000,1024,0.49902344,0.50131352,0.50000000,0.55761719,0.57927515,0.30273438,0.41594389,62261,98.28675772,1.505147,0.42064513,2000,0.02,12
xor,reward,102,2000,1024,0.49707031,0.50139953,1.00000000,0.90722656,0.89451616,1.00000000,0.89324344,62261,127.17980639,1.722227,0.10388617,2000,0.02,12
xor,frozen,102,2000,1024,0.49707031,0.50139953,0.49707031,0.49804688,0.50139953,0.48535156,0.49816916,0,0.00000000,0.736966,0.49816916,2000,0.02,12
xor,shuffled,102,2000,1024,0.49707031,0.50139953,0.50000000,0.50000000,0.50576198,0.48339844,0.45471718,62261,99.86316802,1.565744,0.49378709,2000,0.02,12
xor,reward,103,2000,1024,0.34863281,0.49647775,1.00000000,0.90625000,0.91468184,1.00000000,0.91610938,62261,129.57518362,1.758927,0.08331652,2000,0.02,12
xor,frozen,103,2000,1024,0.34863281,0.49647775,0.34863281,0.46386719,0.49647775,0.65722656,0.50346976,0,0.00000000,0.746690,0.50346976,2000,0.02,12
